,0
866,Malassezia sp.
867,Malassezia sympodialis
868,Malassezia yamatoensis
869,Marasmius fiardii
870,Mariannaea sp.
871,Marssonina brunnea
872,Marssonina coronariae
873,Martensiomyces pterosporus
874,Massarina eburnea
875,Massariosphaeria phaeospora
876,Meira miltonrushii
877,Meira nashicola
878,Melampsora abietis-canadensis
879,Melampsora aecidioides
880,Melampsora allii-populina
881,Melampsora larici-populina
882,Melampsora lini
883,Melampsora medusae
884,Melampsora occidentalis
885,Melampsora pinitorqua
886,Melanconium sp.
887,Melanomma pulvis-pyrius
888,Melanospora tiffanyae
889,Melanotaenium endogenum
890,Meliniomyces bicolor
891,Meliniomyces variabilis
892,Memnoniella echinata
893,Meredithblackwellia eburnea
894,Metarhizium acridum
895,Metarhizium album
896,Metarhizium anisopliae
897,Metarhizium brunneum
898,Metarhizium guizhouense
899,Metarhizium majus
900,Metarhizium rileyi
901,Metarhizium robertsii
902,Metschnikowia aberdeeniae
903,Metschnikowia arizonensis
904,Metschnikowia australis
905,Metschnikowia bicuspidata
906,Metschnikowia borealis
907,Metschnikowia bowlesiae
908,Metschnikowia cerradonensis
909,Metschnikowia colocasiae
910,Metschnikowia continentalis
911,Metschnikowia cubensis
912,Metschnikowia dekortorum
913,Metschnikowia drakensbergensis
914,Metschnikowia fructicola
915,Metschnikowia hamakuensis
916,Metschnikowia hawaiiensis
917,Metschnikowia hibisci
918,Metschnikowia kamakouana
919,Metschnikowia kipukae
920,Metschnikowia lochheadii
921,Metschnikowia matae
922,Metschnikowia mauinuiana
923,Metschnikowia proteae
924,Metschnikowia santaceciliae
925,Metschnikowia shivogae
926,Metschnikowia similis
927,Metschnikowia sp.
928,Meyerozyma caribbica
929,Meyerozyma guilliermondii
930,Microascus trigonosporus
931,Microbotryum intermedium
932,Microbotryum lychnidis-dioicae
933,Microbotryum saponariae
934,Microbotryum violaceum
935,Microcyclospora pomicola
936,Microcyclosporella mali
937,Microdochium bolleyi
938,Microdochium trichocladiopsis
939,Microsporum canis
940,Microthyrium microscopicum
941,Millerozyma acaciae
942,Millerozyma farinosa
943,Mitosporidium daphniae
944,Mixia osmundae
945,Moesziomyces antarcticus
946,Moesziomyces aphidis
947,Monacrosporium haptotylum
948,Monascus purpureus
949,Monascus ruber
950,Moniliella sp.
951,Monilinia aucupariae
952,Monilinia fructicola
953,Moniliophthora perniciosa
954,Moniliophthora roreri
955,Morchella conica
956,Morchella importuna
957,Mortierella alpina
958,Mortierella elongata
959,Mortierella humilis
960,Mortierella multidivaricata
961,Mortierella sp.
962,Mortierella verticillata
963,Mrakia blollopis
964,Mrakia frigida
965,Mrakia psychrophila
966,Mucor ambiguus
967,Mucor circinelloides
968,Mucor cordense
969,Mucor heterogamus
970,Mucor indicus
971,Mucor irregularis
972,Mucor racemosus
973,Mucor velutinosus
974,Multifurca ochricompacta
975,Mutinus elegans
976,Myceliophthora heterothallica
977,Myceliophthora thermophila
978,Mycena alexandri
979,Mycena amicta
980,Mycena belliae
981,Mycena capillaripes
982,Mycena chlorophos
983,Mycena crocata
984,Mycena epipterygia
985,Mycena filopes
986,Mycena floridula
987,Mycena galopus
988,Mycena haematopus
989,Mycena rebaudengoi
990,Mycena rosella
991,Mycena sanguinolenta
992,Mycena sp.
993,Mycena vitilis
994,Mycosphaerella arachidis
995,Mycosphaerella eumusae
996,Mycosphaerella graminicola
997,Mycosphaerella populi
998,Mycosphaerella sp.
999,Mycosphaerelloides madeirae
1000,Mycotypha africana
1001,Myriangium duriaei
1002,Myriosclerotinia curreyana
1003,Myriosclerotinia duriaeana
1004,Myriosclerotinia scirpicola
1005,Myrothecium inundatum
1006,Mytilinidion resinicola
1007,Nadsonia fulvescens
1008,Naematelia encephala
1009,Naganishia albida
1010,Naiadella fluitans
1011,Nakaseomyces bacillisporus
1012,Nakaseomyces delphensis
1013,Nakazawaea peltata
1014,Nannizzia gypsea
1015,Naohidea sebacea
1016,Naumovozyma castellii
1017,Naumovozyma dairenensis
1018,Nectria haematococca
1019,Nectria sp.
1020,Nematocida displodere
1021,Nematocida parisii
1022,Nematocida sp.
1023,Neocallimastix californiae
1024,Neofusicoccum parvum
1025,Neolecta irregularis
1026,Neolentinus lepideus
1027,Neonectria ditissima
1028,Neosartorya fischeri
1029,Neoscytalidium dimidiatum
1030,Neurospora africana
1031,Neurospora crassa
1032,Neurospora discreta
1033,Neurospora hispaniola
1034,Neurospora pannonica
1035,Neurospora sublineolata
1036,Neurospora terricola
1037,Neurospora tetrasperma
1038,Niesslia exilis
1039,Nigrograna mackinnonii
1040,
1041,Nosema apis
1042,Nosema bombycis
